термин,описание,значение
замиокулькиусиск,"Зеленый слизень, обитающий в болотах Редвира. Смертельно боится лунного света, поскольку когда-то давно его предок не послушался Бога Калиспо и съел яблоко с лунного дерева. За это Калиспо согнал замиокулькиусиса в болото. Имеет аллергию на плоды лунного дерева.",1
горшинус,"Волшебная палочка, делающаяся из пород деревьев, растущих высоко в горах.",2
жницик,маленький пельмешек,6
стакашечник,Специальное приспособление для дойки коров. Он надевается на коровье вымя во время дойки и не разъедается молочной кислотой,2
залампиус,"Плод лунного дерева, выглядит как апельсин с красной кожурой. На вкус сладкий и сочный, но для людей ядовитый. Остальные расы могут есть его спокойно",6
ложкин,ядовитый гриб,6
карандашулик,"Острый кусок слюды, который обладает способностью резать пространство и создавать кротовые норы. Всего на свете есть 5 таких предметов, 4 из которых принадлежат членам четырех королевских семей. Пятый же был потерян во время последней Великой войны и до сих пор не был найден",2
живозуб,дикое животное,1
клейко,"растение фиолетово-зеленого цвета, с ярким бутоном. Способность цветка уникальна: в своем соцветии он вырабатывает магический клей, способный заклеить что угодно раз и навсегда ! Популярность у растения вызвало его умение заклеивать раны у людей безболезненным и мгновенным путем. Однако стоит быть осторожным - растение имеет ядовитые шипы. Именно они охраняют желанный бутон от охотников, стремящихся получить заветный клей.",3
лунное дерево,"Широколистное растение, имеющее тонкие белые листья. Визуально чем-то напоминает плакучую иву, растет преимущественно в горах. Цветет четыре раза в год : летом созревают яблоки, осенью - залампиусы,зимой - волшебные семена, исполняющие желания, весной - вишня.",3
Великая война,"Вооруженный конфликт, произошедший между всеми четырьмя государствами мира Редвир",4
Редвир,Волшебный мир,5
